ID,node_is_root,node_is_leaf,node_is_constant,node_is_variable,node_operator,node_operand,node_formula,formula_ID
f47ac10b-58cc-4372-a567-0e02b2c3d479,true,false,false,false,"","","COST_PERCENTAGE",e7eb96e2-df1b-4329-b8f8-e0b93dd460e0
9a7b330d-1c4b-4f3b-8c5e-2d7b1e4a2f3c,false,false,false,false,"/","","",e7eb96e2-df1b-4329-b8f8-e0b93dd460e0
3fa85f64-5717-4562-b3fc-2c963f66afa6,false,false,false,false,"+","","",e7eb96e2-df1b-4329-b8f8-e0b93dd460e0
730e4e1c-9b2d-4d3a-8c1f-5e4b2a3d7f8e,false,true,false,false,"","COST1","",e7eb96e2-df1b-4329-b8f8-e0b93dd460e0
1b4e28ba-2fa1-11d2-883f-0016d3cca427,false,true,false,false,"","COST2","",e7eb96e2-df1b-4329-b8f8-e0b93dd460e0
550e8400-e29b-41d4-a716-446655440000,false,true,false,false,"","REVENUE","",e7eb96e2-df1b-4329-b8f8-e0b93dd460e0
b9060ebc-dd59-4edf-8da3-32f63d67092b,true,false,false,false,"","","COMPLEX_FORMULA",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
aa7ed7e8-29cf-45f8-8707-883fdf54c3ce,false,true,false,false,"","TARGET_MARGIN","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
7062cdb6-ffe5-479e-84b1-a77f6864cce2,false,true,false,false,"","COST1","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
c1f314f9-91c9-4164-bb29-3441028cde33,false,true,false,false,"","COST2","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
d7ea2ded-c604-439a-8465-06dc12825c3b,false,true,false,false,"","REVENUE1","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
dd5a5843-adb3-47f6-9484-ccc7a4b80c9c,false,true,false,false,"","REVENUE2","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
a7574c27-eff9-483d-9131-0a3fb5dbc6ea,false,true,true,false,"","100","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
ad25ded6-f920-4a60-bbe5-81f13eda1da9,false,true,true,false,"","1","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
6a91f9af-eae8-4149-b857-995d4597bc78,false,false,false,false,"+","","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
325748e2-9f41-4b57-b31c-fa26d9885b44,false,false,false,false,"-","","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
d06444be-dc42-4adc-9456-62a29a75781f,false,false,false,false,"+","","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
8e83cfd8-77f7-46ae-add4-d89c4779928c,false,false,false,false,"/","","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
d31e0604-cf40-428f-8d12-b380d5d38de6,false,false,false,false,"*","","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
f7fdccbe-3136-4996-b14b-059b44af427f,false,false,false,false,"-","","",3c2f1a6e-5b9f-4e3e-9c3f-2e3a8b5b9f4a
8b2a7d9e-6f5c-4a3f-1e7b-9c3f2a4d5f6e,true,false,false,false,"","","NET_PRICE",5f9a3d2c-1b4e-7c8f-9e6a-2b3f4d1a5c7e
2d3f1a6e-7b4c-5f9a-3d2c-1b4e8c9f6a7e,false,false,false,false,"-","","",5f9a3d2c-1b4e-7c8f-9e6a-2b3f4d1a5c7e
4a5b6e2d-3f1a-7b9c-8c3f-5f6e1d2c4b7a,false,true,false,false,"","GROSS_PRICE","",5f9a3d2c-1b4e-7c8f-9e6a-2b3f4d1a5c7e
0f3a2c1e-9b4d-4e7f-8c2a-1d3f5b6e7a9c,false,true,false,false,"","DISCOUNT","",5f9a3d2c-1b4e-7c8f-9e6a-2b3f4d1a5c7e
9a8b7c6d-5e4f-3a2b-1c0d-9e8f7a6b5c4d,true,false,false,false,"","","NET_PRICE",b45c2d8e-1f3a-4b6c-8d9e-0f1a2b3c4d5e
2f3e4d5c-6b7a-8d9e-0f1a-2b3c4d5e6f7a,false,false,false,false,"*","","",b45c2d8e-1f3a-4b6c-8d9e-0f1a2b3c4d5e
1e2d3c4b-5a6f-7e8d-9c0b-1a2d3f4e5c6d,false,true,false,false,"","volume","",b45c2d8e-1f3a-4b6c-8d9e-0f1a2b3c4d5e
8e9f0a1b-2c3d-4e5f-6a7b-8c9d0e1f2a3b,false,false,false,false,"-","","",b45c2d8e-1f3a-4b6c-8d9e-0f1a2b3c4d5e
5d6c7b8a-9e0f-1d2c-3b4a-5d6e7f8a9b0c,false,true,false,false,"","list_price","",b45c2d8e-1f3a-4b6c-8d9e-0f1a2b3c4d5e
a0b1c2d3-e4f5-6a7b-8c9d-0e1f2a3b4c5d,false,false,false,false,"*","","",b45c2d8e-1f3a-4b6c-8d9e-0f1a2b3c4d5e
4e5f6a7b-8c9d-0e1f-2a3b-4c5d6e7f8a9b,false,true,false,false,"","list_price","",b45c2d8e-1f3a-4b6c-8d9e-0f1a2b3c4d5e
7b6c5d4e-3f2a-1b0c-9d8e-7f6a5b4c3d2e,false,false,false,false,"/","","",b45c2d8e-1f3a-4b6c-8d9e-0f1a2b3c4d5e
9c0d1e2f-3a4b-5c6d-7e8f-9a0b1c2d3e4f,false,true,false,false,"","discount_percentage","",b45c2d8e-1f3a-4b6c-8d9e-0f1a2b3c4d5e
d3e4f5a6-7b8c-9d0e-1f2a-3b4c5d6e7f8a,false,true,true,false,"","100","",b45c2d8e-1f3a-4b6c-8d9e-0f1a2b3c4d5e
7e2a1b3c-4d5f-6a8b-9c0d-1e2f3a4b5c6d,true,false,false,false,"","","max_price_volume",2f1c4e8a-9b3d-4a7e-8c2f-1e3b5d6a7c8
3a9e5b7c-2d1f-4c8a-9b0e-7f6d5c4b3a2e,false,false,false,false,"max","","",2f1c4e8a-9b3d-4a7e-8c2f-1e3b5d6a7c8
5d8c2f1a-3b4e-7a9c-0d2f-6e1b3c5a7d8f,false,false,false,false,"*","","",2f1c4e8a-9b3d-4a7e-8c2f-1e3b5d6a7c8
1b2c3d4e-5f6a-7b8c-9d0e-1f2a3b4c5d6e,false,true,false,false,"","list_price","",2f1c4e8a-9b3d-4a7e-8c2f-1e3b5d6a7c8
4e2f1b6a-7c8d-9e0f-1a2b-3c4d5e6f7a8b,false,true,false,false,"","volume","",2f1c4e8a-9b3d-4a7e-8c2f-1e3b5d6a7c8
9f1c6a7b-5e3d-4f2c-8a6e-1b7c8d9e0f1,true,false,false,false,"","","max_avg_price_volume",3e8e7d5f-2a7c-4c1d-8c4a-0e6d2e3f4a5b
a2b3c4d5-e6f7-4a89-8b7c-9d0e1f2a3b4,false,false,false,"*","","",3e8e7d5f-2a7c-4c1d-8c4a-0e6d2e3f4a5b
c5d6e7f8-9a0b-4c1d-2e3f-4a5b6c7d8e9,false,false,false,false,"max","","",3e8e7d5f-2a7c-4c1d-8c4a-0e6d2e3f4a5b
1e2f3a4b-5c6d-4e7f-8a9b-0c1d2e3f4a5,false,true,false,false,"","volume","",3e8e7d5f-2a7c-4c1d-8c4a-0e6d2e3f4a5b
7f8e9d0c-1b2a-4c3d-5e6f-7a8b9c0d1e2,false,true,false,false,"","price","",3e8e7d5f-2a7c-4c1d-8c4a-0e6d2e3f4a5b
